,id,link,year,week,result
63,63,https://www.transfermarkt.com/galatasaray_goztepe/index/spielbericht/1096311,1,8,3
64,64,https://www.transfermarkt.com/mke-ankaragucu_bursaspor/index/spielbericht/1096312,1,8,-1
65,65,https://www.transfermarkt.com/denizlispor_genclerbirligi-ankara/index/spielbericht/1096313,1,8,3
66,66,https://www.transfermarkt.com/kocaelispor_trabzonspor/index/spielbericht/1096314,1,8,1
67,67,https://www.transfermarkt.com/antalyaspor_malatyaspor/index/spielbericht/1096315,1,8,1
68,68,https://www.transfermarkt.com/istanbulspor_diyarbakirspor/index/spielbericht/1096317,1,8,1
69,69,https://www.transfermarkt.com/yimpas-yozgatspor_besiktas-jk/index/spielbericht/1096316,1,8,-2
70,70,https://www.transfermarkt.com/gaziantepspor_samsunspor/index/spielbericht/1096318,1,8,1
71,71,https://www.transfermarkt.com/caykur-rizespor_fenerbahce/index/spielbericht/1096319,1,8,-1
72,72,https://www.transfermarkt.com/diyarbakirspor_mke-ankaragucu/index/spielbericht/1096320,1,9,1
73,73,https://www.transfermarkt.com/istanbulspor_samsunspor/index/spielbericht/1096321,1,9,-1
74,74,https://www.transfermarkt.com/trabzonspor_yimpas-yozgatspor/index/spielbericht/1096322,1,9,2
75,75,https://www.transfermarkt.com/fenerbahce_antalyaspor/index/spielbericht/1096323,1,9,1
76,76,https://www.transfermarkt.com/gaziantepspor_malatyaspor/index/spielbericht/1096324,1,9,1
77,77,https://www.transfermarkt.com/goztepe_denizlispor/index/spielbericht/1096325,1,9,0
78,78,https://www.transfermarkt.com/genclerbirligi-ankara_caykur-rizespor/index/spielbericht/1096326,1,9,0
79,79,https://www.transfermarkt.com/besiktas-jk_galatasaray/index/spielbericht/1096327,1,9,0
80,80,https://www.transfermarkt.com/bursaspor_kocaelispor/index/spielbericht/1096328,1,9,1
81,81,https://www.transfermarkt.com/kocaelispor_diyarbakirspor/index/spielbericht/1097323,1,10,2
82,82,https://www.transfermarkt.com/yimpas-yozgatspor_bursaspor/index/spielbericht/1097324,1,10,-1
83,83,https://www.transfermarkt.com/malatyaspor_fenerbahce/index/spielbericht/1097325,1,10,-2
84,84,https://www.transfermarkt.com/caykur-rizespor_goztepe/index/spielbericht/1097326,1,10,0
85,85,https://www.transfermarkt.com/galatasaray_trabzonspor/index/spielbericht/1097327,1,10,2
86,86,https://www.transfermarkt.com/istanbulspor_gaziantepspor/index/spielbericht/1097328,1,10,-1
87,87,https://www.transfermarkt.com/mke-ankaragucu_samsunspor/index/spielbericht/1097329,1,10,2
88,88,https://www.transfermarkt.com/antalyaspor_genclerbirligi-ankara/index/spielbericht/1097330,1,10,0
89,89,https://www.transfermarkt.com/denizlispor_besiktas-jk/index/spielbericht/1097331,1,10,0
90,90,https://www.transfermarkt.com/bursaspor_galatasaray/index/spielbericht/1097332,1,11,5
91,91,https://www.transfermarkt.com/istanbulspor_mke-ankaragucu/index/spielbericht/1097333,1,11,-1
92,92,https://www.transfermarkt.com/kocaelispor_samsunspor/index/spielbericht/1097334,1,11,-1
93,93,https://www.transfermarkt.com/besiktas-jk_caykur-rizespor/index/spielbericht/1097335,1,11,1
94,94,https://www.transfermarkt.com/genclerbirligi-ankara_malatyaspor/index/spielbericht/1097336,1,11,-1
95,95,https://www.transfermarkt.com/goztepe_antalyaspor/index/spielbericht/1097337,1,11,0
96,96,https://www.transfermarkt.com/diyarbakirspor_yimpas-yozgatspor/index/spielbericht/1097338,1,11,0
97,97,https://www.transfermarkt.com/gaziantepspor_fenerbahce/index/spielbericht/1097339,1,11,-2
98,98,https://www.transfermarkt.com/trabzonspor_denizlispor/index/spielbericht/1097340,1,11,0
99,99,https://www.transfermarkt.com/antalyaspor_besiktas-jk/index/spielbericht/1097341,1,12,-3
100,100,https://www.transfermarkt.com/caykur-rizespor_trabzonspor/index/spielbericht/1097342,1,12,0
101,101,https://www.transfermarkt.com/yimpas-yozgatspor_samsunspor/index/spielbericht/1097343,1,12,2
102,102,https://www.transfermarkt.com/mke-ankaragucu_gaziantepspor/index/spielbericht/1097344,1,12,0
103,103,https://www.transfermarkt.com/galatasaray_diyarbakirspor/index/spielbericht/1097345,1,12,4
104,104,https://www.transfermarkt.com/malatyaspor_goztepe/index/spielbericht/1097346,1,12,2
105,105,https://www.transfermarkt.com/kocaelispor_istanbulspor/index/spielbericht/1097347,1,12,2
106,106,https://www.transfermarkt.com/denizlispor_bursaspor/index/spielbericht/1097348,1,12,0
107,107,https://www.transfermarkt.com/fenerbahce_genclerbirligi-ankara/index/spielbericht/1097349,1,12,2
108,108,https://www.transfermarkt.com/goztepe_fenerbahce/index/spielbericht/1097350,1,13,-5
109,109,https://www.transfermarkt.com/diyarbakirspor_denizlispor/index/spielbericht/1097351,1,13,3
110,110,https://www.transfermarkt.com/istanbulspor_yimpas-yozgatspor/index/spielbericht/1097352,1,13,2
